ranking,nombre,puntuacion,votos,tipo,episodios,duracion,demografia,source,rating_edad,miembros,favoritos
164,Spy x Family,8.46,,TV,12,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,762,451","40,337"
165,Uma Musume: Cinderella Gray,8.46,,TV,13,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"36,342",342
166,Yuu☆Yuu☆Hakusho,8.46,,TV,112,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"729,977","24,074"
167,Mo Dao Zu Shi,8.46,,ONA,15,25 min. per ep.,,Action,R - 17+ (violence & profanity),"247,059","7,020"
168,Mo Dao Zu Shi: Xian Yun Pian,8.46,,ONA,8,24 min. per ep.,,Action,R - 17+ (violence & profanity),"114,479","1,278"
169,Nezha Zhi Mo Tong Nao Hai,8.46,,Movie,1,2 hr. 25 min.,,Action,PG-13 - Teens 13 or older,"4,667",28
170,Rainbow: Nisha Rokubou no Shichinin,8.46,,TV,26,22 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"414,630","8,580"
171,Chihayafuru 3,8.46,,TV,24,22 min. per ep.,Josei,Manga,PG-13 - Teens 13 or older,"151,739","1,648"
172,Gintama: The Semi-Final,8.46,,Special,2,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"87,305",262
173,Banana Fish,8.45,,TV,24,22 min. per ep.,Shoujo,Manga,R - 17+ (violence & profanity),"925,699","31,431"
174,Chainsaw Man,8.45,,TV,12,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"1,774,197","51,173"
175,Given Movie 3: Umi e,8.45,,Movie,1,1 hr. 20 min.,,Manga,PG-13 - Teens 13 or older,"20,756",92
176,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,,Movie,1,1 hr. 30 min.,,Drama,PG-13 - Teens 13 or older,"624,034","2,774"
177,Tian Guan Cifu Short Film,8.45,,ONA,Unknown,8 min.,,Action,PG-13 - Teens 13 or older,"7,946",84
178,Owarimonogatari,8.45,,TV,12,26 min. per ep.,,Light novel,R - 17+ (violence & profanity),"499,024","2,971"
179,Pluto,8.45,,ONA,8,1 hr. 1 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"220,706","2,905"
180,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.45,,TV,16,28 min. per ep.,,Light novel,R - 17+ (violence & profanity),"419,887","5,876"
181,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,8.44,,TV,24,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"1,191,439","21,508"
182,Doupo Cangqiong: Nian Fan,8.45,,ONA,157,24 min. per ep.,,Action,PG-13 - Teens 13 or older,"10,767",354
183,Grand Blue,8.44,,TV,12,24 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"848,083","21,053"
184,Haikyuu!!,8.44,,TV,25,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"2,094,915","76,653"
185,Bungou Stray Dogs 4th Season,8.43,,TV,13,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"335,643","3,372"
186,Golden Kamuy 3rd Season,8.43,,TV,12,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"187,700","1,569"
187,Hunter x Hunter,8.43,,TV,62,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"626,559","11,721"
188,Kimetsu no Yaiba,8.43,,TV,26,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"3,275,897","93,033"
189,Zoku Owarimonogatari,8.43,,TV,6,28 min. per ep.,,Light novel,R - 17+ (violence & profanity),"244,002","1,025"
190,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.42,,Movie,1,1 hr. 31 min.,,Light novel,PG-13 - Teens 13 or older,"459,607","1,675"
191,Wu Liuqi: Xuanwu Guo Pian,8.42,,ONA,10,16 min. per ep.,,Action,R - 17+ (violence & profanity),"77,984",862
192,Dandadan 2nd Season,8.42,,TV,12,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"253,151","1,255"
193,Gintama: Yorinuki Gintama-san on Theater 2D,8.42,,Movie,2,1 hr. 36 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"47,621",44
194,Karakai Jouzu no Takagi-san Movie,8.42,,Movie,1,1 hr. 13 min.,Shounen,Manga,PG-13 - Teens 13 or older,"88,241",759
195,Kono Oto Tomare! Part 2,8.42,,TV,13,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"194,078","1,800"
196,Koukaku Kidoutai: Stand Alone Complex,8.42,,TV,26,24 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"414,076","8,809"
197,Mushishi Zoku Shou: Odoro no Michi,8.42,,TV Special,1,47 min.,Seinen,Manga,PG-13 - Teens 13 or older,"107,992",126
198,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,,Movie,1,1 hr. 44 min.,Shoujo,Manga,PG-13 - Teens 13 or older,"80,785",226
199,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.42,,TV,12,29 min. per ep.,,Light novel,R - 17+ (violence & profanity),"1,004,005","13,174"
200,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.41,,Movie,1,1 hr. 30 min.,,Light novel,PG-13 - Teens 13 or older,"849,166","5,008"
201,Mononoke,8.41,,TV,12,22 min. per ep.,,Horror,R - 17+ (violence & profanity),"353,498","8,917"
202,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.41,,TV,12,23 min. per ep.,,Light novel,R - 17+ (violence & profanity),"503,519","4,258"
203,Saenai Heroine no Sodatekata Fine,8.41,,Movie,1,1 hr. 54 min.,,Light novel,PG-13 - Teens 13 or older,"198,068","2,705"
204,Saiki Kusuo no Ψ-nan,8.41,,TV,120,5 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,193,488","32,293"
205,Saiki Kusuo no Ψ-nan 2,8.41,,TV,24,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"690,436","4,355"
206,Shingeki no Kyojin: Kuinaki Sentaku,8.41,,OVA,2,27 min. per ep.,,Action,R - 17+ (violence & profanity),"547,047","2,023"
207,Tian Guan Cifu,8.41,,ONA,11,26 min. per ep.,,Action,PG-13 - Teens 13 or older,"166,404","5,951"
208,Jujutsu Kaisen 0 Movie,8.40,,Movie,1,1 hr. 44 min.,Shounen,Manga,R - 17+ (violence & profanity),"1,132,052","10,788"
209,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.40,,TV,12,25 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"1,858,554","41,238"
210,Kamisama Hajimemashita: Kako-hen,8.40,,OVA,4,30 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"178,638","1,086"
211,Natsume Yuujinchou Roku Specials,8.40,,Special,2,23 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"52,147",79
212,Major S5,8.39,,TV,25,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"74,556",645
213,Ramayana: The Legend of Prince Rama,8.39,,Movie,1,2 hr. 15 min.,,Adventure,G - All Ages,"14,058",224
214,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39,,Movie,1,1 hr. 54 min.,,Drama,PG-13 - Teens 13 or older,"471,244","8,181"
215,Blue Giant,8.39,,Movie,1,1 hr. 59 min.,Seinen,Manga,PG-13 - Teens 13 or older,"41,680",410
216,Houseki no Kuni,8.39,,TV,12,24 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"497,746","14,469"
217,Cowboy Bebop: Tengoku no Tobira,8.38,,Movie,1,1 hr. 55 min.,,Action,R - 17+ (violence & profanity),"399,090","1,716"
218,Gintama°: Aizome Kaori-hen,8.38,,OVA,2,25 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"90,614",142
219,Josee to Tora to Sakana-tachi,8.38,,Movie,1,1 hr. 38 min.,,Drama,PG-13 - Teens 13 or older,"489,951","6,822"
220,Karakai Jouzu no Takagi-san 3,8.38,,TV,12,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"203,921","2,350"
221,Kaze ga Tsuyoku Fuiteiru,8.38,,TV,23,23 min. per ep.,,Drama,PG-13 - Teens 13 or older,"322,750","6,344"
222,Made in Abyss Movie 2: Hourou Suru Tasogare,8.38,,Movie,1,1 hr. 45 min.,,Web manga,R - 17+ (violence & profanity),"154,943",281
223,Mahou Shoujo Madoka★Magica,8.38,,TV,12,24 min. per ep.,,Award Winning,PG-13 - Teens 13 or older,"1,360,912","58,242"
224,Medalist,8.38,,TV,13,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"66,859",431
225,Tunshi Xingkong 3rd Season,8.38,,ONA,33,21 min. per ep.,,Action,PG-13 - Teens 13 or older,"4,162",39
226,Vivy: Fluorite Eye's Song,8.38,,TV,13,24 min. per ep.,,Action,R - 17+ (violence & profanity),"583,062","11,222"
227,Yuru Camp△ Movie,8.38,,Movie,1,2 hr.,,Manga,PG-13 - Teens 13 or older,"90,207",466
228,Tunshi Xingkong 4th Season,8.37,,ONA,123,21 min. per ep.,,Action,PG-13 - Teens 13 or older,"4,818",130
229,Violet Evergarden: Recollections,8.37,,Special,1,1 hr. 35 min.,,Light novel,PG-13 - Teens 13 or older,"40,828",166
230,Xian Ni,8.37,,ONA,128,25 min. per ep.,,Action,PG-13 - Teens 13 or older,"7,856",190
231,3-gatsu no Lion,8.37,,TV,22,25 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"713,084","16,090"
232,Barakamon,8.37,,TV,12,22 min. per ep.,,Web manga,PG-13 - Teens 13 or older,"695,406","13,236"
233,Chihayafuru 2,8.37,,TV,25,22 min. per ep.,Josei,Manga,PG-13 - Teens 13 or older,"247,247","1,648"
234,Cross Game,8.37,,TV,50,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"130,209","3,057"
235,Fruits Basket: Prelude,8.37,,Movie,1,1 hr. 28 min.,Shoujo,Manga,PG-13 - Teens 13 or older,"122,912",864
236,Girls Band Cry,8.37,,TV,13,23 min. per ep.,,Drama,PG-13 - Teens 13 or older,"117,543","2,692"
237,Haikyuu!! To the Top,8.37,,TV,13,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,010,077","5,442"
238,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.37,,Movie,1,2 hr. 1 min.,,Light novel,R - 17+ (violence & profanity),"214,772","2,319"
239,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,,Movie,1,1 hr. 49 min.,,Drama,PG-13 - Teens 13 or older,"214,232","1,092"
240,Kizumonogatari I: Tekketsu-hen,8.36,,Movie,1,1 hr. 4 min.,,Light novel,R - 17+ (violence & profanity),"561,564","3,837"
241,Shinseiki Evangelion,8.36,,TV,26,24 min. per ep.,,Action,PG-13 - Teens 13 or older,"1,940,193","112,706"
242,Gintama: Shiroyasha Koutan,8.36,,Special,1,10 min.,,Manga,PG-13 - Teens 13 or older,"73,764",92
243,Girls & Panzer: Saishuushou Part 4,8.36,,Movie,1,54 min.,,CGDCT,PG-13 - Teens 13 or older,"23,093",109
244,Baccano!,8.35,,TV,13,24 min. per ep.,,Light novel,R - 17+ (violence & profanity),"939,965","23,556"
245,Douluo Dalu 2nd Season,8.35,,ONA,237,20 min. per ep.,,Action,PG-13 - Teens 13 or older,"23,063",483
246,Initial D First Stage,8.35,,TV,26,25 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"418,919","13,323"
247,K-On! Movie,8.35,,Movie,1,1 hr. 50 min.,,4-koma manga,PG-13 - Teens 13 or older,"345,951","2,920"
248,Kaze no Tani no Nausicaä,8.35,,Movie,1,1 hr. 57 min.,,Manga,PG-13 - Teens 13 or older,"400,704","5,767"
249,Kimetsu no Yaiba: Mugen Ressha-hen,8.35,,TV,7,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"889,312","4,537"
250,Kono Subarashii Sekai ni Shukufuku wo! 3,8.35,,TV,11,23 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"501,325","5,456"
251,Meitantei Conan Movie 26: Kurogane no Submarine,8.35,,Movie,1,1 hr. 49 min.,Shounen,Manga,PG-13 - Teens 13 or older,"16,795",112
252,Mushoku Tensei: Isekai Ittara Honki Dasu,8.35,,TV,11,23 min. per ep.,,Light novel,R - 17+ (violence & profanity),"1,481,394","37,613"
253,Non Non Biyori Nonstop,8.35,,TV,12,24 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"134,636",967
254,Tensei shitara Slime Datta Ken 2nd Season,8.35,,TV,12,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,058,106","10,922"
255,Versailles no Bara,8.35,,TV,40,24 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"108,895","3,287"
256,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.35,,Special,1,34 min.,,Light novel,PG-13 - Teens 13 or older,"356,956",953
257,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.35,,TV,12,24 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"787,435","14,660"
258,Wu Shan Wu Xing: Xichuan Huan Zi Lin,8.34,,ONA,4,38 min. per ep.,,Action,R - 17+ (violence & profanity),"17,413",127
259,Fumetsu no Anata e,8.34,,TV,20,25 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"944,012","15,454"
260,Hellsing Ultimate,8.34,,OVA,10,49 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"985,009","22,911"
261,Hibike! Euphonium 2,8.34,,TV,13,23 min. per ep.,,Drama,PG-13 - Teens 13 or older,"249,086","3,771"
262,IDOLiSH7 Third Beat! Part 2,8.34,,TV,17,24 min. per ep.,,Drama,PG-13 - Teens 13 or older,"17,069",268
263,86,8.33,,TV,11,23 min. per ep.,,Light novel,R - 17+ (violence & profanity),"896,595","24,388"
264,Ashita no Joe,8.33,,TV,79,25 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"104,382","2,263"
265,Bakuman. 2nd Season,8.33,,TV,25,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"365,934","1,382"
266,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.33,,OVA,1,22 min.,Shoujo,Manga,PG-13 - Teens 13 or older,"85,245",116
267,Psycho-Pass,8.33,,TV,22,23 min. per ep.,,Action,R - 17+ (violence & profanity),"1,706,462","39,732"
268,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.33,,TV,13,26 min. per ep.,,Light novel,R - 17+ (violence & profanity),"1,216,639","12,204"
269,Kidou Senshi Gundam: The Origin,8.32,,OVA,6,1 hr. 11 min. per ep.,Shounen,Manga,R+ - Mild Nudity,"81,282",935
270,Kiseijuu: Sei no Kakuritsu,8.32,,TV,24,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"1,976,321","36,020"
271,One Outs,8.32,,TV,25,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"250,492","4,188"
272,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,8.32,,Movie,1,1 hr. 14 min.,,Light novel,PG-13 - Teens 13 or older,"137,201",541
273,Usagi Drop,8.32,,TV,11,22 min. per ep.,Josei,Manga,PG-13 - Teens 13 or older,"515,474","6,008"
274,Bakemonogatari,8.32,,TV,15,25 min. per ep.,,Light novel,R - 17+ (violence & profanity),"1,456,450","50,361"
275,Bocchi the Rock! Movie,8.32,,Movie,2,1 hr. 22 min. per ep.,,4-koma manga,PG-13 - Teens 13 or older,"66,148",442
276,Dr. Stone: New World Part 2,8.32,,TV,11,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"370,791","1,570"
277,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,,TV,13,24 min. per ep.,,Action,R - 17+ (violence & profanity),"894,962","9,488"
278,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.32,,Movie,12,25 min. per ep.,,Drama,R - 17+ (violence & profanity),"24,865",139
279,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,8.31,,Movie,12,25 min. per ep.,,Drama,R - 17+ (violence & profanity),"17,509",66
280,Hunter x Hunter: Original Video Animation,8.31,,OVA,8,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"133,977",435
281,Major S6,8.31,,TV,25,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"66,117",475
282,Natsume Yuujinchou Go Specials,8.31,,Special,2,23 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"50,853",66
283,NHK ni Youkoso!,8.31,,TV,24,23 min. per ep.,,Comedy,R+ - Mild Nudity,"798,646","28,569"
284,Romeo no Aoi Sora,8.31,,TV,33,23 min. per ep.,,Adventure,PG-13 - Teens 13 or older,"54,328",681
285,Sasaki to Miyano Movie: Sotsugyou-hen,8.31,,Movie,1,51 min.,,Manga,PG-13 - Teens 13 or older,"54,014",377
286,Shiguang Dailiren: Yingdu Pian,8.31,,ONA,6,32 min. per ep.,,Drama,PG-13 - Teens 13 or older,"54,079",423
287,Tunshi Xingkong 2nd Season,8.31,,ONA,26,21 min. per ep.,,Action,PG-13 - Teens 13 or older,"8,077",138
288,Uchuu Senkan Yamato 2199,8.31,,OVA,26,25 min. per ep.,,Action,PG-13 - Teens 13 or older,"122,532","1,860"
289,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.30,,TV,12,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"858,905","11,020"
290,Boku dake ga Inai Machi,8.30,,TV,12,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"2,214,535","50,121"
291,Diamond no Ace: Second Season,8.30,,TV,51,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"146,617","1,106"
292,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.30,,Movie,1,1 hr. 48 min.,,Manga,PG - Children,"20,528",173
293,Evangelion Movie 2: Ha,8.30,,Movie,1,1 hr. 52 min.,,Action,R+ - Mild Nudity,"573,461","3,532"
294,Given,8.30,,TV,11,22 min. per ep.,,Manga,PG-13 - Teens 13 or older,"612,064","17,776"
295,Katanagatari,8.30,,TV,12,49 min. per ep.,,Light novel,R - 17+ (violence & profanity),"582,379","10,856"
296,Kingdom 2nd Season,8.30,,TV,39,25 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"140,264",905
297,Luo Xiao Hei Zhan Ji (Movie),8.30,,Movie,1,1 hr. 41 min.,,Adventure,G - All Ages,"31,324",417
298,Natsume Yuujinchou,8.30,,TV,13,24 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"572,329","16,463"
299,Ookami to Koushinryou II,8.30,,TV,12,23 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"512,226","4,293"
300,Kage no Jitsuryokusha ni Naritakute! 2nd Season,8.29,,TV,12,23 min. per ep.,,Light novel,R - 17+ (violence & profanity),"476,023","4,988"
301,Kemono no Souja Erin,8.29,,TV,50,24 min. per ep.,,Drama,PG-13 - Teens 13 or older,"91,772","1,511"
302,Kuroko no Basket 3rd Season,8.29,,TV,25,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"805,624","5,162"
303,Meitantei Conan Movie 06: Baker Street no Bourei,8.29,,Movie,1,1 hr. 47 min.,Shounen,Manga,PG-13 - Teens 13 or older,"83,352",276
304,Redline,8.29,,Movie,1,1 hr. 42 min.,,Action,R+ - Mild Nudity,"407,784","5,994"
305,Sakamichi no Apollon,8.29,,TV,12,22 min. per ep.,Josei,Manga,PG-13 - Teens 13 or older,"406,648","7,194"
306,Steins;Gate: Oukoubakko no Poriomania,8.29,,Special,1,24 min.,,Comedy,PG-13 - Teens 13 or older,"460,966",879
307,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.29,,TV,11,22 min. per ep.,,Drama,PG-13 - Teens 13 or older,"1,669,114","32,867"
308,Beck,8.29,,TV,26,25 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"362,307","8,896"
309,Initial D Final Stage,8.29,,TV,4,27 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"158,933","1,022"
310,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.28,,Movie,4,25 min. per ep.,,Drama,R - 17+ (violence & profanity),"29,257",111
311,Gintama: Shinyaku Benizakura-hen,8.28,,Special,1,11 min.,Shounen,Manga,PG-13 - Teens 13 or older,"46,512",53
312,Kaijuu 8-gou,8.28,,TV,12,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"615,674","6,098"
313,Kino no Tabi: The Beautiful World,8.28,,TV,13,24 min. per ep.,,Light novel,R - 17+ (violence & profanity),"340,961","7,340"
314,Major: World Series,8.28,,OVA,2,28 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"39,509",102
315,Naruto: Shippuuden,8.28,,TV,500,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"2,641,068","116,994"
316,Rurouni Kenshin: Meiji Kenkaku Romantan,8.28,,TV,94,25 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"515,106","10,266"
317,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",8.28,,TV,25,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"215,825","1,341"
318,Tokyo Godfathers,8.28,,Movie,1,1 hr. 32 min.,,Award Winning,PG-13 - Teens 13 or older,"316,012","2,849"
319,Yuukoku no Moriarty Part 2,8.28,,TV,13,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"278,174","3,244"
320,Shirobako,8.27,,TV,24,24 min. per ep.,,Award Winning,PG-13 - Teens 13 or older,"462,729","6,237"
321,Tanoshii Muumin Ikka,8.27,,TV,78,24 min. per ep.,Kids,Adventure,G - All Ages,"31,687",820
322,Tenki no Ko,8.27,,Movie,1,1 hr. 52 min.,,Award Winning,PG-13 - Teens 13 or older,"1,080,511","13,036"
323,Yuru Camp△,8.27,,TV,12,23 min. per ep.,,Manga,PG-13 - Teens 13 or older,"525,260","11,729"
324,Diamond no Ace: Act II,8.27,,TV,52,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"97,970","1,058"
325,Doukyuusei,8.27,,Movie,1,1 hr.,,Manga,PG-13 - Teens 13 or older,"286,204","6,445"
326,Fate/Zero,8.27,,TV,13,27 min. per ep.,,Light novel,R - 17+ (violence & profanity),"1,563,946","34,126"
327,Gin no Saji 2nd Season,8.27,,TV,11,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"152,296",695
328,Hotarubi no Mori e,8.27,,Movie,1,45 min.,Shoujo,Manga,G - All Ages,"858,244","10,505"
329,Koukaku Kidoutai,8.27,,Movie,1,1 hr. 22 min.,Seinen,Manga,R+ - Mild Nudity,"676,691","13,754"
330,Space☆Dandy 2nd Season,8.26,,TV,13,24 min. per ep.,,Comedy,PG-13 - Teens 13 or older,"177,874","1,914"
