ranking,nombre,puntuacion,votos,tipo,episodios,duracion,demografia,source,rating_edad,miembros,favoritos
331,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.26,,TV Special,1,24 min.,,Sci-Fi,PG-13 - Teens 13 or older,"279,185",469
332,Suzume no Tojimari,8.26,,Movie,1,2 hr. 1 min.,,Adventure,PG-13 - Teens 13 or older,"451,606","5,254"
333,Tenkuu no Shiro Laputa,8.26,,Movie,1,2 hr. 4 min.,,Adventure,PG - Children,"519,605","4,632"
334,Tsubasa: Tokyo Revelations,8.26,,OVA,3,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"99,955",826
335,Doupo Cangqiong 4th Season,8.26,,ONA,24,24 min. per ep.,,Action,PG-13 - Teens 13 or older,"9,581",108
336,Dr. Stone,8.26,,TV,24,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,869,090","29,992"
337,Gyakkyou Burai Kaiji: Ultimate Survivor,8.26,,TV,26,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"377,807","10,569"
338,Dororo,8.25,,TV,24,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"1,319,697","22,270"
339,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,8.25,,TV,11,23 min. per ep.,,Light novel,R - 17+ (violence & profanity),"271,734","1,821"
340,Haikyuu!! Movie 4: Concept no Tatakai,8.25,,Movie,1,1 hr. 28 min.,Shounen,Manga,PG-13 - Teens 13 or older,"98,925",90
341,Hajime no Ippo: Champion Road,8.25,,TV Special,1,1 hr. 31 min.,Shounen,Manga,PG-13 - Teens 13 or older,"150,791",265
342,Hunter x Hunter: Greed Island Final,8.25,,OVA,14,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"153,206",253
343,Kage no Jitsuryokusha ni Naritakute!,8.25,,TV,20,23 min. per ep.,,Light novel,R - 17+ (violence & profanity),"788,281","17,163"
344,Kono Subarashii Sekai ni Shukufuku wo! 2,8.25,,TV,10,23 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"1,603,364","12,011"
345,Nodame Cantabile,8.25,,TV,23,22 min. per ep.,Josei,Manga,PG-13 - Teens 13 or older,"326,222","4,950"
346,Ore dake Level Up na Ken,8.25,,TV,12,23 min. per ep.,,Web manga,R - 17+ (violence & profanity),"990,209","18,649"
347,Planetes,8.25,,TV,26,25 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"270,204","4,020"
348,Shinsekai yori,8.25,,TV,25,22 min. per ep.,,Drama,R - 17+ (violence & profanity),"806,551","22,239"
349,Stranger: Mukou Hadan,8.25,,Movie,1,1 hr. 42 min.,,Action,R - 17+ (violence & profanity),"347,056","3,032"
350,Tonari no Totoro,8.25,,Movie,1,1 hr. 26 min.,,Adventure,G - All Ages,"1,125,155","8,979"
351,Sennen Joyuu,8.24,,Movie,1,1 hr. 26 min.,,Action,PG-13 - Teens 13 or older,"202,011","2,867"
352,World Trigger 3rd Season,8.24,,TV,14,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"133,039","1,242"
353,Dr. Stone: Science Future,8.24,,TV,12,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"234,222","1,032"
354,Fanren Xiu Xian Chuan: Xinghai Feichi,8.24,,ONA,48,20 min. per ep.,,Action,PG-13 - Teens 13 or older,"3,006",34
355,Golden Kamuy 2nd Season,8.24,,TV,12,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"224,821",994
356,Gyakkyou Burai Kaiji: Hakairoku-hen,8.24,,TV,26,24 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"206,852","2,913"
357,Hajime no Ippo: Mashiba vs. Kimura,8.24,,OVA,1,1 hr. 1 min.,Shounen,Manga,PG-13 - Teens 13 or older,"122,081",226
358,Kuroshitsuji Movie: Book of the Atlantic,8.24,,Movie,1,1 hr. 40 min.,Shounen,Manga,R - 17+ (violence & profanity),"217,766","1,620"
359,Meitantei Conan: Episode One - Chiisaku Natta Meitantei,8.24,,TV Special,1,1 hr. 33 min.,Shounen,Manga,PG-13 - Teens 13 or older,"33,597",65
360,Non Non Biyori Movie: Vacation,8.24,,Movie,1,1 hr. 11 min.,Seinen,Manga,PG-13 - Teens 13 or older,"83,927",212
361,Re:Zero kara Hajimeru Isekai Seikatsu,8.24,,TV,25,26 min. per ep.,,Light novel,R - 17+ (violence & profanity),"2,355,970","72,477"
362,Kamisama Hajimemashita◎,8.23,,TV,12,23 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"446,784","3,621"
363,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23,,TV,25,24 min. per ep.,,Action,R - 17+ (violence & profanity),"154,890","1,711"
364,Majo no Takkyuubin,8.23,,Movie,1,1 hr. 43 min.,,Adventure,G - All Ages,"633,853","6,389"
365,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.23,,TV,13,24 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"1,869,427","49,346"
366,Shoujo Shuumatsu Ryokou,8.23,,TV,12,23 min. per ep.,,Web manga,PG-13 - Teens 13 or older,"378,522","7,981"
367,Wu Liuqi: Anying Suming,8.23,,ONA,10,16 min. per ep.,,Action,R - 17+ (violence & profanity),"34,217",208
368,Youjo Senki Movie,8.23,,Movie,1,1 hr. 38 min.,,Light novel,R - 17+ (violence & profanity),"310,552","1,199"
369,Bakemono no Ko,8.23,,Movie,1,1 hr. 59 min.,,Fantasy,PG-13 - Teens 13 or older,"444,321","3,243"
370,BanG Dream! It's MyGO!!!!!,8.23,,TV,13,23 min. per ep.,,Drama,PG-13 - Teens 13 or older,"35,964",984
371,Boku no Hero Academia 6th Season,8.23,,TV,25,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"748,776","7,315"
372,Boku no Kokoro no Yabai Yatsu,8.23,,TV,12,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"394,285","5,825"
373,Chiikawa,8.23,,TV,Unknown,1 min.,Seinen,Web manga,G - All Ages,"10,154",290
374,Danshi Koukousei no Nichijou,8.23,,TV,12,24 min. per ep.,,Web manga,PG-13 - Teens 13 or older,"863,483","14,692"
375,IDOLiSH7 Third Beat!,8.23,,TV,13,24 min. per ep.,,Drama,PG-13 - Teens 13 or older,"25,909",399
376,Kobayashi-san Chi no Maid Dragon S,8.22,,TV,12,23 min. per ep.,,Manga,PG-13 - Teens 13 or older,"592,360","5,776"
377,Kono Sekai no Katasumi ni,8.22,,Movie,1,2 hr. 48 min.,Seinen,Manga,PG-13 - Teens 13 or older,"201,630","1,642"
378,Liz to Aoi Tori,8.22,,Movie,1,1 hr. 30 min.,,Award Winning,PG-13 - Teens 13 or older,"155,532","3,011"
379,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.22,,Movie,1,2 hr. 11 min.,,Drama,PG-13 - Teens 13 or older,"210,780",971
380,Mimi wo Sumaseba,8.22,,Movie,1,1 hr. 51 min.,Shoujo,Manga,G - All Ages,"391,344","5,519"
381,Mushoku Tensei II: Isekai Ittara Honki Dasu,8.22,,TV,12,23 min. per ep.,,Light novel,R - 17+ (violence & profanity),"687,239","7,536"
382,Nodame Cantabile Finale,8.22,,TV,11,22 min. per ep.,Josei,Manga,PG-13 - Teens 13 or older,"131,777",410
383,Shen Yin Wangzuo 2nd Season,8.22,,ONA,182,20 min. per ep.,,Action,PG-13 - Teens 13 or older,"6,703",141
384,Shoujo Kakumei Utena,8.22,,TV,39,23 min. per ep.,,Award Winning,PG-13 - Teens 13 or older,"236,953","9,216"
385,Spy x Family Part 2,8.22,,TV,13,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,051,955","7,579"
386,Trigun,8.22,,TV,26,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"805,402","16,911"
387,Wu Liuqi: Zui Qiang Fa Xing Shi,8.22,,ONA,10,16 min. per ep.,,Action,PG-13 - Teens 13 or older,"90,900",596
388,Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.21,,TV Special,1,47 min.,Shounen,Manga,PG-13 - Teens 13 or older,"238,023",416
389,Tengoku Daimakyou,8.21,,TV,13,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"578,434","7,083"
390,Yofukashi no Uta Season 2,8.21,,TV,12,22 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"131,195",571
391,Yubisaki to Renren,8.21,,TV,12,23 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"303,176","4,021"
392,Ao no Hako,8.21,,TV,25,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"265,071","3,487"
393,Berserk: Ougon Jidai-hen III - Kourin,8.21,,Movie,1,1 hr. 50 min.,Seinen,Manga,R+ - Mild Nudity,"239,594","1,678"
394,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21,,Movie,1,1 hr. 22 min.,Shoujo,Manga,PG - Children,"121,010",494
395,Fruits Basket 1st Season,8.21,,TV,25,23 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"904,768","17,525"
396,Kaguya-hime no Monogatari,8.21,,Movie,1,2 hr. 17 min.,,Award Winning,R+ - Mild Nudity,"250,372","2,903"
397,Major S3,8.21,,TV,26,25 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"73,151",353
398,Ookami to Koushinryou,8.21,,TV,13,23 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"852,983","18,130"
399,ReLIFE: Kanketsu-hen,8.21,,Special,4,23 min. per ep.,,Web manga,PG-13 - Teens 13 or older,"428,358","2,039"
400,InuYasha: Kanketsu-hen,8.20,,TV,26,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"298,066","2,282"
401,Kuroko no Basket 2nd Season,8.20,,TV,25,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"900,589","4,396"
402,Magi: The Kingdom of Magic,8.20,,TV,25,25 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"878,256","7,740"
403,Major S1,8.20,,TV,26,25 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"105,955","1,420"
404,Meitantei Conan Movie 13: Shikkoku no Chaser,8.20,,Movie,1,1 hr. 51 min.,Shounen,Manga,PG-13 - Teens 13 or older,"63,417",77
405,Quanzhi Gaoshou Specials,8.20,,ONA,3,27 min. per ep.,,Action,PG-13 - Teens 13 or older,"111,096",350
406,Sasaki to Miyano,8.20,,TV,12,23 min. per ep.,,Web manga,PG-13 - Teens 13 or older,"221,067","5,403"
407,SKET Dance,8.20,,TV,77,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"233,827","3,256"
408,xxxHOLiC◆Kei,8.20,,TV,13,24 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"151,349",634
409,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.20,,TV,13,24 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"1,124,969","16,072"
410,Bungou Stray Dogs 3rd Season,8.20,,TV,12,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"683,312","5,070"
411,Dragon Ball Super: Broly,8.20,,Movie,1,1 hr. 40 min.,Shounen,Manga,PG-13 - Teens 13 or older,"444,591","3,429"
412,Dragon Ball Z,8.20,,TV,291,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,287,301","40,738"
413,Great Pretender,8.20,,TV,23,23 min. per ep.,,Action,R - 17+ (violence & profanity),"717,365","10,339"
414,Hikaru ga Shinda Natsu,8.20,,TV,12,22 min. per ep.,,Web manga,R - 17+ (violence & profanity),"101,998",411
415,Asobi Asobase,8.19,,TV,12,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"515,655","7,179"
416,Girls & Panzer Movie,8.19,,Movie,1,2 hr.,,Action,PG-13 - Teens 13 or older,"126,199","1,463"
417,Haikyuu!! Movie 3: Sainou to Sense,8.19,,Movie,1,1 hr. 29 min.,Shounen,Manga,PG-13 - Teens 13 or older,"102,146",105
418,Horimiya,8.19,,TV,13,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,534,089","38,356"
419,Kuroshitsuji: Midori no Majo-hen,8.19,,TV,13,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"54,429",392
420,Maison Ikkoku,8.19,,TV,96,25 min. per ep.,Seinen,Manga,R+ - Mild Nudity,"79,875","1,839"
421,Mo Dao Zu Shi Q,8.19,,ONA,30,5 min. per ep.,,Comedy,PG-13 - Teens 13 or older,"27,224",252
422,One Piece Movie 14: Stampede,8.19,,Movie,1,1 hr. 41 min.,Shounen,Manga,PG-13 - Teens 13 or older,"210,904",679
423,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.19,,TV Special,1,1 hr. 46 min.,Shounen,Manga,PG-13 - Teens 13 or older,"79,034",77
424,Senki Zesshou Symphogear XV,8.19,,TV,13,23 min. per ep.,,Action,PG-13 - Teens 13 or older,"42,786",906
425,Stand By Me Doraemon 2,8.19,,Movie,1,1 hr. 35 min.,Kids,Manga,PG - Children,"39,913",139
426,Vanitas no Karte Part 2,8.19,,TV,12,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"326,515","2,846"
427,Wu Liuqi: Jiyi Suipian,8.19,,ONA,10,15 min. per ep.,,Action,R - 17+ (violence & profanity),"12,614",54
428,xxxHOLiC Rou,8.18,,OVA,2,34 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"84,506",194
429,Yi Nian Yong Heng: Chuan Cheng Pian,8.18,,ONA,54,19 min. per ep.,,Action,PG-13 - Teens 13 or older,"8,459",98
430,Yojouhan Time Machine Blues,8.18,,ONA,6,20 min. per ep.,,Comedy,PG-13 - Teens 13 or older,"60,919",324
431,Ballroom e Youkoso,8.18,,TV,24,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"353,536","3,706"
432,Blue Lock,8.18,,TV,24,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"822,643","14,023"
433,Cardcaptor Sakura,8.18,,TV,70,25 min. per ep.,Shoujo,Manga,PG - Children,"471,967","14,309"
434,Chihayafuru,8.18,,TV,25,22 min. per ep.,Josei,Manga,PG-13 - Teens 13 or older,"483,790","8,227"
435,Fate/stay night: Unlimited Blade Works,8.18,,TV,12,28 min. per ep.,,Action,R - 17+ (violence & profanity),"1,137,697","17,072"
436,Fate/strange Fake: Whispers of Dawn,8.18,,TV Special,1,55 min.,,Light novel,R - 17+ (violence & profanity),"96,116",371
437,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.18,,Movie,4,25 min. per ep.,,Drama,R - 17+ (violence & profanity),"40,029",58
438,Hachimitsu to Clover II,8.18,,TV,12,23 min. per ep.,Josei,Manga,PG-13 - Teens 13 or older,"122,864",954
439,Hunter x Hunter: Greed Island,8.18,,OVA,8,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"177,585",313
440,Initial D Second Stage,8.18,,TV,13,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"251,734","1,170"
441,K-On!!,8.18,,TV,26,24 min. per ep.,,4-koma manga,PG-13 - Teens 13 or older,"730,626","14,964"
442,Kimetsu no Yaiba: Katanakaji no Sato-hen,8.18,,TV,11,28 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"1,000,811","9,615"
443,Kono Subarashii Sekai ni Shukufuku wo! 3: Bonus Stage,8.18,,OVA,2,25 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"63,172",88
444,Made in Abyss Movie 1: Tabidachi no Yoake,8.18,,Movie,1,1 hr. 59 min.,,Web manga,R - 17+ (violence & profanity),"155,003",259
445,Major S4,8.18,,TV,26,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"68,549",197
446,Meitantei Conan,8.18,,TV,Unknown,24 min.,Shounen,Manga,PG-13 - Teens 13 or older,"367,852","15,545"
447,Meitantei Conan Movie 20: Junkoku no Nightmare,8.18,,Movie,1,1 hr. 52 min.,Shounen,Manga,G - All Ages,"45,512",103
448,Nomad: Megalo Box 2,8.18,,TV,13,24 min. per ep.,,Sci-Fi,R - 17+ (violence & profanity),"224,465","2,217"
449,Non Non Biyori Repeat,8.18,,TV,12,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"209,551","1,263"
450,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.17,,OVA,1,12 min.,Shoujo,Manga,PG-13 - Teens 13 or older,"70,681",200
451,Little Busters! Refrain,8.17,,TV,13,24 min. per ep.,,Comedy,PG-13 - Teens 13 or older,"173,663","2,131"
452,Major S2,8.17,,TV,26,25 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"75,259",309
453,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.17,,Movie,1,51 min.,Shoujo,Manga,PG-13 - Teens 13 or older,"51,929",108
454,No Game No Life: Zero,8.17,,Movie,1,1 hr. 46 min.,,Light novel,PG-13 - Teens 13 or older,"924,712","7,895"
455,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.17,,Movie,1,1 hr. 52 min.,,Action,PG-13 - Teens 13 or older,"186,648",443
456,Yoru wa Mijikashi Arukeyo Otome,8.17,,Movie,1,1 hr. 32 min.,,Comedy,R+ - Mild Nudity,"136,182","1,798"
457,Yuukoku no Moriarty,8.17,,TV,11,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"483,569","8,031"
458,Bakuman.,8.17,,TV,25,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"644,358","9,551"
459,Black Lagoon: The Second Barrage,8.17,,TV,12,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"558,372","3,267"
460,Bungou Stray Dogs 2nd Season,8.17,,TV,12,23 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"923,806","6,840"
461,Digimon Adventure: Last Evolution Kizuna,8.17,,Movie,1,1 hr. 34 min.,,Action,PG-13 - Teens 13 or older,"60,661",338
462,Girls & Panzer: Saishuushou Part 3,8.17,,Movie,1,48 min.,,CGDCT,PG-13 - Teens 13 or older,"44,487",119
463,Initial D Fourth Stage,8.17,,TV,24,27 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"205,436","1,386"
464,Akira,8.16,,Movie,1,2 hr. 4 min.,Seinen,Manga,R+ - Mild Nudity,"918,891","14,509"
465,Ao Ashi,8.16,,TV,24,24 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"241,167","3,343"
466,Aria the Natural,8.16,,TV,26,24 min. per ep.,Shounen,Manga,G - All Ages,"83,634",822
467,Fanren Xiu Xian Chuan: Waihai Fengyun,8.16,,ONA,52,20 min. per ep.,,Action,PG-13 - Teens 13 or older,"1,610",15
468,Higurashi no Naku Koro ni Kai,8.16,,TV,24,24 min. per ep.,,Horror,R - 17+ (violence & profanity),"509,837","7,542"
469,Kotarou wa Hitorigurashi,8.16,,ONA,10,26 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"190,524","2,230"
470,Ouran Koukou Host Club,8.16,,TV,26,23 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"1,191,170","35,958"
471,Lupin III: Cagliostro no Shiro,8.15,,Movie,1,1 hr. 39 min.,Seinen,Manga,PG-13 - Teens 13 or older,"135,214","1,442"
472,Lycoris Recoil,8.15,,TV,13,24 min. per ep.,,Action,PG-13 - Teens 13 or older,"560,046","9,354"
473,Non Non Biyori Nonstop: Bukatsu wo Ganbatta,8.15,,OVA,1,22 min.,Seinen,Manga,PG-13 - Teens 13 or older,"36,984",30
474,Ore dake Level Up na Ken: ReAwakening,8.15,,Movie,1,1 hr. 56 min.,,Web manga,R - 17+ (violence & profanity),"45,086",206
475,Cang Yuan Tu,8.15,,ONA,26,23 min. per ep.,,Action,PG-13 - Teens 13 or older,"4,321",55
476,Dr. Stone: New World,8.15,,TV,11,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"548,654","3,262"
477,Dr. Stone: Stone Wars,8.15,,TV,11,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,143,796","7,484"
478,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.15,,Movie,1,2 hr.,,Action,R - 17+ (violence & profanity),"496,657","2,648"
479,Holo no Graffiti,8.15,,ONA,Unknown,1 min.,,Comedy,PG-13 - Teens 13 or older,"58,182","1,890"
480,Horimiya: Piece,8.15,,TV,13,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"411,663","2,937"
481,Sono Bisque Doll wa Koi wo Suru,8.15,,TV,12,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"1,204,047","21,960"
482,Tensei shitara Slime Datta Ken,8.14,,TV,24,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,569,627","31,965"
483,Toaru Kagaku no Railgun T,8.14,,TV,25,24 min. per ep.,,Manga,R - 17+ (violence & profanity),"258,800","3,315"
484,Kaiba,8.14,,TV,12,24 min. per ep.,,Adventure,R+ - Mild Nudity,"173,623","3,936"
485,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.14,,Movie,1,1 hr. 30 min.,,Light novel,PG-13 - Teens 13 or older,"286,358","1,066"
486,Noragami Aragoto,8.14,,TV,13,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,524,532","11,582"
487,Princess Tutu,8.14,,TV,38,16 min. per ep.,,Drama,PG-13 - Teens 13 or older,"179,295","5,264"
488,Black Clover,8.14,,TV,170,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,808,395","49,194"
489,Ginga Eiyuu Densetsu Gaiden,8.14,,OVA,24,26 min. per ep.,,Action,R+ - Mild Nudity,"26,173",69
490,Death Parade,8.13,,TV,12,23 min. per ep.,,Drama,R - 17+ (violence & profanity),"1,864,434","29,250"
491,Dr. Stone: Ryuusui,8.13,,TV Special,1,54 min.,Shounen,Manga,PG-13 - Teens 13 or older,"349,096",903
492,Eiga Daisuki Pompo-san,8.13,,Movie,1,1 hr. 34 min.,,Web manga,PG-13 - Teens 13 or older,"60,798",517
493,Eizouken ni wa Te wo Dasu na!,8.13,,TV,12,25 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"357,591","4,436"
494,Given: Uragawa no Sonzai,8.13,,OVA,1,22 min.,,Manga,PG-13 - Teens 13 or older,"97,264",772
495,IDOLiSH7 Second Beat!,8.13,,TV,15,24 min. per ep.,,Drama,PG-13 - Teens 13 or older,"35,177",416
496,Shen Yin Wangzuo,8.13,,ONA,26,20 min. per ep.,,Action,PG-13 - Teens 13 or older,"9,684",151
497,Shinigami Bocchan to Kuro Maid 3rd Season,8.13,,TV,12,23 min. per ep.,,Web manga,PG-13 - Teens 13 or older,"63,230",271
498,The Fable,8.13,,TV,25,22 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"89,944",686
499,Working!!! Lord of the Takanashi,8.13,,Special,1,49 min.,Seinen,4-koma manga,PG-13 - Teens 13 or older,"106,667",217
500,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.13,,Movie,1,1 hr. 5 min.,,Adventure,G - All Ages,"79,186","1,042"
