ranking,nombre,score,votos,ranked,popularity,members,status,demografia,autores,volumenes,capitulos,generos
1,Berserk,9.47,,1,1,"758,085",Publishing,Seinen,"Miura, Kentarou, Studio Gaga",Unknown,Unknown,"Action, Adventure, Award Winning, Drama, Fantasy, Horror"
2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,,2,23,"298,725",Finished,"Seinen, Shounen","Araki, Hirohiko",24,96,"Action, Adventure, Mystery, Supernatural"
3,Vagabond,9.27,,3,13,"430,417",On Hiatus,Seinen,"Inoue, Takehiko, Yoshikawa, Eiji",37,327,"Action, Adventure, Award Winning"
4,One Piece,9.22,,4,4,"668,098",Publishing,Shounen,"Oda, Eiichiro",Unknown,Unknown,"Action, Adventure, Fantasy"
5,Monster,9.16,,5,28,"273,973",Finished,Seinen,"Urasawa, Naoki",18,162,"Award Winning, Drama, Mystery"
6,Vinland Saga,9.09,,6,17,"337,561",Publishing,Seinen,"Yukimura, Makoto",Unknown,Unknown,"Action, Adventure, Award Winning, Drama"
7,Guimi Zhi Zhu,9.09,,7,1442,"15,184",Finished,,Ai Qianshui de Wuzei,18,366,"Action, Fantasy, Mystery, Suspense"
8,Slam Dunk,9.08,,8,49,"190,815",Finished,Shounen,"Inoue, Takehiko",31,276,"Award Winning, Sports"
9,Fullmetal Alchemist,9.04,,9,20,"312,726",Finished,Shounen,"Arakawa, Hiromu",27,116,"Action, Adventure, Award Winning, Drama, Fantasy"
10,Omniscient Reader's Viewpoint,9.04,,10,729,"27,288",Finished,,"sing N song, BlackBox",20,105,"Action, Adventure, Fantasy"
11,Grand Blue,9.03,,11,48,"192,050",Publishing,Seinen,"Inoue, Kenji, Yoshioka, Kimitake",Unknown,Unknown,
12,Tian Guan Cifu,9.01,,12,1055,"19,750",Finished,,Mo Xiang Tong Xiu,6,Unknown,"Action, Adventure, Boys Love, Fantasy"
13,Kingdom,9.01,,13,51,"189,892",Publishing,Seinen,"Hara, Yasuhisa",Unknown,Unknown,"Action, Award Winning"
14,Oyasumi Punpun,8.99,,14,8,"491,032",Finished,Seinen,"Asano, Inio",13,147,"Drama, Slice of Life"
15,Houseki no Kuni,8.97,,15,80,"157,762",Finished,Seinen,"Ichikawa, Haruko",13,108,"Action, Drama, Fantasy"
16,Real,8.95,,16,148,"102,828",Publishing,Seinen,"Inoue, Takehiko",Unknown,Unknown,"Award Winning, Drama, Sports"
17,20th Century Boys,8.93,,17,24,"292,990",Finished,Seinen,"Urasawa, Naoki",22,249,"Award Winning, Drama, Mystery, Sci-Fi"
18,Ashita no Joe,8.93,,18,285,"61,909",Finished,Shounen,"Kajiwara, Ikki, Chiba, Tetsuya",20,171,"Drama, Slice of Life, Sports"
19,Yotsuba to!,8.91,,19,67,"171,540",Publishing,,"Azuma, Kiyohiko",Unknown,Unknown,"Award Winning, Comedy, Slice of Life"
20,Monogatari Series: First Season,8.91,,20,271,"65,219",Finished,,"NISIO, ISIN, VOFAN",6,107,"Action, Comedy, Mystery, Romance, Supernatural"
21,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.90,,21,906,"22,650",Finished,Shounen,"Natsumi, Kei, Ryukishi07",9,42,"Drama, Fantasy, Mystery, Supernatural"
22,Monogatari Series: Second Season,8.89,,22,721,"27,485",Finished,,"NISIO, ISIN, VOFAN",6,199,"Comedy, Drama, Mystery, Supernatural"
23,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,,23,25,"291,649",Finished,Seinen,"Akasaka, Aka",28,281,"Award Winning, Comedy, Romance"
24,Mo Dao Zu Shi,8.89,,24,1676,"13,414",Finished,,Mo Xiang Tong Xiu,4,27,"Action, Adventure, Boys Love, Fantasy, Mystery"
25,Mikkakan no Koufuku,8.87,,25,494,"39,494",Finished,,"Miaki, Sugaru",1,15,
26,GTO,8.87,,26,55,"183,654",Finished,Shounen,"Fujisawa, Tooru",25,208,"Action, Award Winning, Comedy, Drama, Ecchi"
27,Haikyuu!!,8.86,,27,33,"235,022",Finished,Shounen,"Furudate, Haruichi",45,407,"Award Winning, Sports"
28,3-gatsu no Lion,8.85,,28,223,"76,669",Publishing,Seinen,"Umino, Chica",Unknown,Unknown,"Award Winning, Drama, Slice of Life"
29,Sousou no Frieren,8.85,,29,81,"153,964",Publishing,Shounen,"Yamada, Kanehito, Abe, Tsukasa",Unknown,Unknown,"Adventure, Award Winning, Drama, Fantasy"
30,Koe no Katachi,8.85,,30,26,"284,348",Finished,Shounen,"Ooima, Yoshitoki",7,64,"Award Winning, Drama"
31,Kaoru Hana wa Rin to Saku,8.83,,31,138,"108,409",Publishing,,"Mikami, Saka",Unknown,Unknown,"Drama, Romance"
32,The Greatest Estate Developer,8.83,,32,346,"51,606",Publishing,,"Moon, Back-kyung, Kim, Hyunsoo",Unknown,Unknown,"Adventure, Comedy, Fantasy"
33,Tian Guan Cifu,8.82,,33,1184,"17,870",Publishing,,"Mo Xiang Tong Xiu, STARember",Unknown,Unknown,"Action, Adventure, Boys Love, Drama, Fantasy"
34,Akatsuki no Yona,8.82,,34,87,"146,874",Publishing,Shoujo,"Kusanagi, Mizuho",Unknown,Unknown,"Adventure, Fantasy, Romance"
35,Kokou no Hito,8.82,,35,100,"134,108",Finished,Seinen,"Sakamoto, Shinichi",17,170,"Award Winning, Drama, Sports"
36,Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,,36,162,"97,139",Finished,,"Rifujin na Magonote, Sirotaka",26,330,
37,Re:Zero kara Hajimeru Isekai Seikatsu,8.82,,37,215,"79,862",Publishing,,"Nagatsuki, Tappei, Ootsuka, Shinichirou",Unknown,Unknown,"Drama, Fantasy, Suspense"
38,86,8.82,,38,380,"48,945",Publishing,,"Shirabi, Asato, Asato",Unknown,Unknown,"Action, Drama, Sci-Fi"
39,Monogatari Series: Final Season,8.81,,39,895,"22,816",Finished,,"NISIO, ISIN, VOFAN",6,231,"Comedy, Mystery, Supernatural"
40,Nana,8.81,,40,77,"162,236",On Hiatus,Shoujo,"Yazawa, Ai",21,84,"Award Winning, Drama, Romance"
41,Ookami to Koushinryou,8.81,,41,247,"69,718",Publishing,,"Hasekura, Isuna, Ayakura, Juu",Unknown,Unknown,"Adventure, Drama, Fantasy, Romance, Supernatural"
42,Kaze no Tani no Nausicaä,8.80,,42,268,"65,656",Finished,,"Miyazaki, Hayao",7,59,"Action, Adventure, Award Winning, Fantasy"
43,Kusuriya no Hitorigoto,8.80,,43,1038,"20,019",Publishing,,"Hyuuga, Natsu, Shino, Touko",Unknown,Unknown,"Drama, Mystery"
44,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.79,,44,171,"94,561",Finished,,"Tomose, Shunsaku, Kinugasa, Shougo",14,110,
45,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.78,,45,1006,"20,518",Finished,,"Shiina, You, Kazuki, Miya",33,Unknown,
46,Dungeon Meshi,8.77,,46,153,"101,365",Finished,Seinen,"Kui, Ryouko",14,102,"Award Winning, Comedy, Fantasy, Gourmet"
47,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,,47,56,"182,740",Finished,Shounen,"Taguchi, Shouichi, Miaki, Sugaru",3,18,
48,Hunter x Hunter,8.76,,48,22,"298,821",Publishing,Shounen,"Togashi, Yoshihiro",Unknown,Unknown,"Action, Adventure, Fantasy"
49,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.75,,49,434,"43,652",Finished,,"Tomose, Shunsaku, Kinugasa, Shougo",15,130,
50,No Home,8.75,,50,2462,"9,313",Finished,,Wanan,Unknown,269,
51,Hajime no Ippo,8.74,,51,163,"97,079",Publishing,Shounen,"Morikawa, George",Unknown,Unknown,"Award Winning, Sports"
52,Uchuu Kyoudai,8.74,,52,467,"41,010",Publishing,Seinen,"Koyama, Chuuya",Unknown,Unknown,"Award Winning, Drama, Sci-Fi"
53,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.74,,53,227,"75,367",Finished,,"Watari, Wataru, Ponkan⑧",18,168,"Comedy, Romance"
54,Made in Abyss,8.73,,54,63,"176,085",Publishing,,"Tsukushi, Akihito",Unknown,Unknown,"Adventure, Drama, Fantasy, Sci-Fi"
55,Shoujo Shuumatsu Ryokou,8.72,,55,207,"81,968",Finished,,Tsukumizu,6,47,"Adventure, Award Winning, Slice of Life"
56,Veil,8.72,,56,935,"21,958",Publishing,,"Fukuda, Ikumi",Unknown,Unknown,"Romance, Slice of Life"
57,One Punch-Man,8.71,,57,7,"511,766",Publishing,Seinen,"Murata, Yusuke, ONE",Unknown,Unknown,"Action, Comedy"
58,Kono Oto Tomare!,8.71,,58,370,"49,788",Publishing,Shounen,"Sakura, Amyuu",Unknown,Unknown,
59,The Horizon,8.70,,59,141,"106,630",Finished,,"Jeong, Ji-Hoon",3,21,"Adventure, Drama"
60,Mushishi,8.70,,60,178,"92,342",Finished,Seinen,"Urushibara, Yuki",10,50,"Award Winning, Fantasy, Mystery, Supernatural"
61,Death Note,8.69,,61,14,"417,139",Finished,Shounen,"Obata, Takeshi, Ohba, Tsugumi",12,108,"Supernatural, Suspense"
62,Beck,8.69,,62,188,"88,193",Finished,Shounen,"Sakuishi, Harold",34,103,"Award Winning, Drama, Romance"
63,Chainsaw Man,8.69,,63,3,"677,065",Publishing,Shounen,"Fujimoto, Tatsuki",Unknown,Unknown,"Action, Award Winning, Fantasy"
64,Medalist,8.69,,64,1043,"19,906",Publishing,Seinen,Tsurumaikada,Unknown,Unknown,"Award Winning, Drama, Sports"
65,Utsuro no Hako to Zero no Maria,8.68,,65,140,"107,947",Finished,,"Mikage, Eiji, Tetsuo",7,40,"Action, Drama, Horror, Mystery, Romance, Supernatural, Suspense"
66,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,8.68,,66,2956,"7,886",Finished,,"Hanada, Keika, Moyataro",5,21,"Drama, Horror, Mystery, Supernatural"
67,Dorohedoro,8.68,,67,46,"194,186",Finished,Seinen,"Hayashida, Q",23,190,"Action, Comedy, Fantasy, Horror"
68,Kusuriya no Hitorigoto,8.67,,68,199,"83,403",Publishing,Seinen,"Hyuuga, Natsu, Nekokurage",Unknown,Unknown,"Drama, Mystery"
69,Tongari Boushi no Atelier,8.66,,69,128,"115,663",Publishing,Seinen,"Shirahama, Kamome",Unknown,Unknown,
70,Akira,8.66,,70,94,"142,754",Finished,Seinen,"Otomo, Katsuhiro",6,120,"Action, Award Winning, Sci-Fi"
71,Natsume Yuujinchou,8.66,,71,384,"48,671",Publishing,Shoujo,"Midorikawa, Yuki",Unknown,Unknown,"Drama, Supernatural"
72,Yokohama Kaidashi Kikou,8.65,,72,206,"82,177",Finished,Seinen,"Ashinano, Hitoshi",14,142,"Award Winning, Sci-Fi, Slice of Life"
73,Yagate Kimi ni Naru,8.65,,73,125,"117,026",Finished,,"Nakatani, Nio",8,50,"Drama, Girls Love"
74,Kimi no Suizou wo Tabetai,8.65,,74,1899,"11,953",Finished,,"Sumino, Yoru",1,10,"Drama, Romance"
75,Bungou Stray Dogs: Beast,8.65,,75,1025,"20,207",Finished,Shounen,"Asagiri, Kafka, Hoshikawa, Shiwasu",4,22,"Action, Mystery, Supernatural"
76,Kimi to Tsuzuru Utakata,8.65,,76,764,"26,429",Finished,,Yuama,6,32,
77,Ao Ashi,8.65,,77,492,"39,593",Finished,Seinen,"Kobayashi, Yuugo, Ueno, Naohiko",40,Unknown,"Award Winning, Sports"
78,Violet Evergarden,8.64,,78,627,"31,182",Finished,,"Akatsuki, Kana, Takase, Akiko",2,13,"Drama, Fantasy"
79,Golden Kamuy,8.64,,79,145,"104,036",Finished,Seinen,"Noda, Satoru",31,314,"Action, Adventure, Award Winning"
80,Sayonara Eri,8.64,,80,89,"145,921",Finished,Shounen,"Fujimoto, Tatsuki",1,Unknown,
81,Gintama,8.64,,81,154,"101,278",Finished,Shounen,"Sorachi, Hideaki",77,709,"Action, Comedy, Sci-Fi"
82,Zaregoto Series,8.64,,82,737,"27,138",Publishing,,"NISIO, ISIN, Take",Unknown,Unknown,"Action, Drama, Mystery, Supernatural"
83,Solo Leveling,8.64,,83,5,"583,659",Finished,,"Chugong, Jang, Sung-rak, Disciples",Unknown,201,"Action, Adventure, Fantasy"
84,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,8.64,,84,1270,"16,823",Finished,Shounen,"Mizuno, Eita, Ryukishi07",9,48,"Drama, Mystery, Supernatural, Suspense"
85,On the Way to Meet Mom,8.64,,85,5956,"3,776",Finished,,Gomyang,2,31,"Adventure, Fantasy"
86,ReLIFE,8.63,,86,68,"171,502",Finished,,"Yayoi, Sou",15,238,"Comedy, Drama, Romance, Slice of Life"
87,Shinyaku Toaru Majutsu no Index,8.63,,87,1171,"18,027",Finished,,"Kamachi, Kazuma, Haimura, Kiyotaka",23,178,"Action, Comedy, Fantasy, Sci-Fi, Supernatural"
88,Mahoutsukai no Yoru,8.63,,88,3007,"7,790",Finished,,"Nasu, Kinoko",1,8,"Mystery, Supernatural"
89,Kozure Ookami,8.63,,89,344,"51,710",Finished,Seinen,"Koike, Kazuo, Kojima, Goseki",28,142,
90,Omniscient Reader's Viewpoint,8.63,,90,83,"148,710",Publishing,,"sing N song, Sleepy-C",Unknown,Unknown,"Action, Adventure, Fantasy"
91,Mo Dao Zu Shi,8.63,,91,1131,"18,536",Finished,,"Mo Xiang Tong Xiu, Luo Di Cheng Qiu",Unknown,260,"Action, Adventure, Boys Love, Fantasy, Mystery"
92,Wind Breaker,8.62,,92,276,"63,318",Publishing,,"Jo, Yongseok",Unknown,Unknown,"Action, Drama, Sports"
93,Pluto,8.62,,93,102,"133,142",Finished,Seinen,"Urasawa, Naoki, Tezuka, Osamu",8,65,"Action, Award Winning, Mystery, Sci-Fi, Suspense"
94,Usogui,8.62,,94,369,"49,843",Finished,Seinen,"Sako, Toshio",49,541,
95,Aria,8.61,,95,444,"42,942",Finished,Shounen,"Amano, Kozue",12,67,"Sci-Fi, Slice of Life"
96,Ginga Eiyuu Densetsu,8.61,,96,1797,"12,559",Finished,,"Tanaka, Yoshiki, Katou, Naoyuki, Kamoshita, Yukihisa",10,94,"Action, Adventure, Drama, Sci-Fi"
97,Blue Period,8.61,,97,97,"137,602",Publishing,Seinen,"Yamaguchi, Tsubasa",Unknown,Unknown,"Award Winning, Drama"
98,Mob Psycho 100,8.61,,98,110,"125,731",Finished,,ONE,16,109,"Action, Award Winning, Comedy, Supernatural"
99,Seishun Buta Yarou Series,8.61,,99,637,"30,782",Finished,,"Kamoshida, Hajime, Mizoguchi, Keiji",15,Unknown,"Drama, Romance, Supernatural"
100,Overlord,8.61,,100,256,"67,667",Publishing,,"Maruyama, Kugane, so-bin",Unknown,Unknown,"Action, Fantasy"
101,Koten-bu Series,8.61,,101,980,"20,985",Publishing,,"Yonezawa, Honobu",Unknown,Unknown,"Adventure, Mystery"
102,Skip to Loafer,8.60,,102,390,"48,147",Publishing,Seinen,"Takamatsu, Misaki",Unknown,Unknown,"Award Winning, Drama"
103,Kono Subarashii Sekai ni Shukufuku wo!,8.60,,103,310,"58,110",Finished,,"Mishima, Kurone, Akatsuki, Natsume",17,127,"Adventure, Comedy, Fantasy"
104,Banana Fish,8.60,,104,275,"63,427",Finished,Shoujo,"Yoshida, Akimi",19,110,"Action, Adventure, Drama, Suspense"
105,Shigatsu wa Kimi no Uso,8.59,,105,194,"85,416",Finished,Shounen,"Arakawa, Naoshi",11,44,"Award Winning, Drama, Romance"
106,Seasons of Blossom,8.59,,106,1222,"17,278",Finished,,"Hongduck, NEMONE",12,135,
107,Tobaku Datenroku Kaiji: One Poker-hen,8.59,,107,1991,"11,347",Finished,Seinen,"Fukumoto, Nobuyuki",16,155,
108,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",8.59,,108,596,"32,769",Finished,,"Morinaga, Miku",4,26,
109,19 Tian,8.58,,109,1611,"13,855",Publishing,,Old Xian,Unknown,Unknown,"Boys Love, Comedy"
110,Shinseiki Evangelion,8.58,,110,115,"122,099",Finished,"Seinen, Shounen","Sadamoto, Yoshiyuki",14,97,"Action, Drama, Mystery, Sci-Fi, Suspense"
111,Kino no Tabi: The Beautiful World,8.57,,111,948,"21,600",Publishing,,"Sigsawa, Keiichi, Kuroboshi, Kouhaku",Unknown,Unknown,"Adventure, Drama, Fantasy"
112,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.57,,112,135,"110,105",Finished,Shounen,"Araki, Hirohiko",18,174,"Action, Supernatural"
113,Chihayafuru,8.57,,113,340,"52,057",Finished,Josei,"Suetsugu, Yuki",50,253,"Award Winning, Drama"
114,Pandora Hearts,8.56,,114,53,"185,488",Finished,Shounen,"Mochizuki, Jun",24,107,"Adventure, Fantasy, Mystery"
115,Otoyomegatari,8.56,,115,220,"78,442",Publishing,Seinen,"Mori, Kaoru",Unknown,Unknown,"Award Winning, Romance"
116,The Legend of the Northern Blade,8.56,,116,396,"47,726",Finished,,"Woogack, Hae, Min",Unknown,202,"Action, Adventure, Fantasy"
117,Skip Beat!,8.55,,117,170,"94,766",Publishing,Shoujo,"Nakamura, Yoshiki",Unknown,Unknown,"Comedy, Drama, Romance"
118,Billy Bat,8.55,,118,214,"79,939",Finished,Seinen,"Urasawa, Naoki, Nagasaki, Takashi",20,165,"Drama, Mystery, Supernatural"
119,Shingeki no Kyojin,8.55,,119,2,"678,783",Finished,Shounen,"Isayama, Hajime",34,141,"Action, Award Winning, Drama, Suspense"
120,The Fable,8.55,,120,301,"59,982",Finished,Seinen,"Minami, Katsuhisa",22,240,"Award Winning, Comedy, Suspense"
121,Webtoon Character Na Kang Lim,8.55,,121,1949,"11,611",Finished,,"Lee, Kyeongmin, Song, Junhyeok",Unknown,172,"Comedy, Romance, Supernatural"
122,Diamond no Ace Act II,8.55,,122,1093,"19,065",Finished,Shounen,"Terajima, Yuuji",34,309,
123,Jibaku Shounen Hanako-kun,8.55,,123,111,"124,502",Publishing,Shounen,"Aida, Iro",Unknown,Unknown,
124,Hi no Tori (1967),8.54,,124,793,"25,608",Finished,Shounen,"Tezuka, Osamu",16,19,"Drama, Fantasy, Romance, Sci-Fi, Supernatural"
125,Kamisama Hajimemashita,8.54,,125,173,"94,100",Finished,Shoujo,"Suzuki, Julietta",25,154,"Comedy, Fantasy, Romance, Supernatural"
126,My Bias Gets on the Last Train,8.54,,126,5634,"4,013",Publishing,,Jixksee,Unknown,Unknown,
127,Nan Hao Shang Feng,8.54,,127,983,"20,919",Publishing,,Brownie,Unknown,Unknown,
128,Eleceed,8.54,,128,550,"35,191",Publishing,,"Kim, Hye-Jin, Son, Jae-Ho",Unknown,Unknown,
129,After School Lessons for Unripe Apples,8.54,,129,2806,"8,321",Publishing,,Soonkki,Unknown,Unknown,
130,Mushoku Tensei: Dasoku-hen,8.54,,130,5894,"3,820",Publishing,,"Rifujin na Magonote, Sirotaka",Unknown,Unknown,"Fantasy, Slice of Life"
131,Tokyo Ghoul,8.54,,131,6,"539,523",Finished,Seinen,"Ishida, Sui",14,144,"Action, Fantasy, Horror"
132,Umineko no Naku Koro ni,8.54,,132,2991,"7,816",Finished,,"Ryukishi07, Tomohi",8,Unknown,"Fantasy, Horror, Mystery, Supernatural, Suspense"
133,Rurouni Kenshin: Meiji Kenkaku Romantan,8.53,,133,150,"102,533",Finished,Shounen,"Watsuki, Nobuhiro",28,259,"Action, Drama"
134,Fruits Basket,8.53,,134,82,"149,046",Finished,Shoujo,"Takaya, Natsuki",23,136,"Award Winning, Drama, Romance, Supernatural"
135,Kara no Kyoukai: The Garden of Sinners,8.53,,135,1141,"18,427",Finished,,"Type-Moon, Nasu, Kinoko, Takeuchi, Takashi",2,10,"Action, Fantasy, Mystery"
136,Suzumiya Haruhi Series,8.53,,136,480,"40,119",Publishing,,"Tanigawa, Nagaru, Itou, Noizi",Unknown,Unknown,"Comedy, Drama, Sci-Fi, Supernatural"
137,Ping Pong,8.53,,137,829,"24,276",Finished,Seinen,"Matsumoto, Taiyou",5,55,"Drama, Sports"
138,One Outs,8.53,,138,506,"38,272",Finished,Seinen,"Kaitani, Shinobu",20,175,
139,Sasaki to Miyano,8.53,,139,471,"40,627",Publishing,,"Harusono, Shou",Unknown,Unknown,
140,Monogatari Series: Monster Season,8.52,,140,2357,"9,658",Finished,,"NISIO, ISIN, VOFAN",6,Unknown,"Comedy, Mystery, Supernatural"
141,Hirayasumi,8.52,,141,962,"21,273",Publishing,Seinen,"Shinzou, Keigo",Unknown,Unknown,
142,Steins;Gate,8.52,,142,1469,"15,009",Finished,,"Sakai, Kyuuta, Miwa, Kiyomune",5,17,"Sci-Fi, Suspense"
143,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,8.51,,143,1213,"17,391",Finished,Shounen,"Ryukishi07, Akitaka",6,27,"Drama, Fantasy, Horror, Mystery, Supernatural, Suspense"
144,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,8.51,,144,713,"27,736",Finished,,"Kareno, Akira, ue",5,25,"Drama, Fantasy, Romance, Sci-Fi"
145,Umineko no Naku Koro ni Chiru,8.50,,145,4735,"4,869",Finished,,"Ryukishi07, Tomohi",7,Unknown,"Fantasy, Horror, Mystery, Supernatural, Suspense"
146,Sotsugyousei,8.50,,146,1001,"20,620",Finished,,"Nakamura, Asumiko",2,16,"Boys Love, Drama"
147,Ouran Koukou Host Club,8.50,,147,101,"133,513",Finished,Shoujo,"Hatori, Bisco",18,87,"Comedy, Drama, Romance"
148,Kidou Senshi Gundam: The Origin,8.50,,148,1169,"18,046",Finished,Shounen,"Yasuhiko, Yoshikazu, Tomino, Yoshiyuki",24,112,"Action, Award Winning, Drama, Sci-Fi"
149,Baccano!,8.50,,149,931,"22,099",On Hiatus,,"Narita, Ryohgo, Enami, Katsumi",22,Unknown,"Action, Fantasy, Mystery"
150,Fate/Zero,8.50,,150,660,"29,670",Finished,,"Takeuchi, Takashi, Urobuchi, Gen",4,18,"Action, Fantasy"
151,Watashitachi no Shiawase na Jikan,8.49,,151,116,"120,923",Finished,Seinen,"Yumeka, Sumomo",1,8,"Drama, Romance"
152,Sakamichi no Apollon,8.49,,152,589,"32,924",Finished,Josei,"Kodama, Yuki",9,45,"Award Winning, Drama, Romance"
153,Kakukaku Shikajika,8.49,,153,668,"29,429",Finished,Josei,"Higashimura, Akiko",5,34,"Award Winning, Slice of Life"
154,Monogatari Series: Off Season,8.49,,154,2946,"7,924",Finished,,"NISIO, ISIN, VOFAN",4,155,"Comedy, Drama, Mystery, Supernatural"
155,Kimi no Suizou wo Tabetai,8.49,,155,375,"49,313",Finished,,"Kirihara, Idumi, Sumino, Yoru",2,10,"Drama, Romance"
156,Given,8.49,,156,255,"67,997",Finished,,"Kizu, Natsuki",9,58,"Boys Love, Drama"
157,Blue Giant,8.49,,157,789,"25,744",Finished,Seinen,"Ishizuka, Shinichi",10,80,
158,Bakemonogatari,8.49,,158,447,"42,781",Finished,Shounen,"Oh! Great, NISIO, ISIN",22,193,"Action, Comedy, Drama, Mystery, Romance, Supernatural"
159,Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,8.49,,159,2562,"8,983",Finished,,"Iruma, Hitoma, Nakatani, Nio",3,9,"Drama, Girls Love"
160,Shimeji Simulation,8.49,,160,815,"24,628",Finished,,Tsukumizu,5,49,
161,Yubisaki to Renren,8.49,,161,312,"58,044",Publishing,Shoujo,"Morishita, Suu",Unknown,Unknown,
162,The Boxer,8.49,,162,358,"50,740",Finished,,"Jeong, Ji-Hoon",Unknown,123,"Drama, Sports"
163,Return of the Blossoming Blade,8.49,,163,631,"30,980",Publishing,,"LICO, Biga",Unknown,Unknown,"Action, Adventure, Fantasy"
164,Berserk: Shinen no Kami 2,8.48,,164,1036,"20,028",Finished,Seinen,"Miura, Kentarou",Unknown,1,
