ranking,nombre,score,votos,ranked,popularity,members,status,demografia,autores,volumenes,capitulos,generos
165,Spirit Circle,8.48,,165,387,"48,390",Finished,Seinen,"Mizukami, Satoshi",6,45,"Action, Adventure, Comedy, Drama, Romance, Supernatural"
166,Spy x Family,8.48,,166,19,"323,318",Publishing,Shounen,"Endou, Tatsuya",Unknown,Unknown,"Action, Comedy"
167,Uma Musume Cinderella Gray,8.48,,167,4644,"4,972",Publishing,Seinen,"Kuzumi, Taiyou",Unknown,Unknown,"Drama, Slice of Life, Sports"
168,Bungou Stray Dogs,8.48,,168,159,"98,984",Publishing,Seinen,"Asagiri, Kafka, Harukawa35",Unknown,Unknown,"Action, Mystery, Supernatural"
169,Tensei shitara Slime Datta Ken,8.48,,169,445,"42,877",Publishing,,"Mitz Vah, Fuse",Unknown,Unknown,
170,"Ohayou, Ibarahime",8.47,,170,486,"39,939",Finished,Shoujo,"Morino, Megumi",6,26,"Romance, Supernatural"
171,Vanitas no Karte,8.47,,171,238,"71,578",Publishing,Shounen,"Mochizuki, Jun",Unknown,Unknown,
172,Bastard,8.47,,172,88,"146,450",Finished,,"Kim, Carnby, Hwang, Young-chan",5,94,"Drama, Horror, Mystery, Romance"
173,Blue Lock,8.47,,173,43,"203,272",Publishing,Shounen,"Kaneshiro, Muneyuki, Nomura, Yuusuke",Unknown,Unknown,"Award Winning, Sports"
174,Here U Are,8.47,,174,617,"31,458",Finished,,D Jun,Unknown,156,"Boys Love, Drama, Slice of Life"
175,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,8.47,,175,870,"23,425",Publishing,,"Kazutake, Hazano, Hanekoto, Saeki-san",Unknown,Unknown,"Comedy, Romance"
176,JoJo no Kimyou na Bouken Part 8: JoJolion,8.47,,176,74,"164,149",Finished,Seinen,"Araki, Hirohiko",27,110,"Action, Adventure, Award Winning, Mystery, Supernatural"
177,Chikan Otoko,8.47,,177,365,"49,996",Finished,,"Yokota, Takuma",Unknown,21,"Comedy, Drama, Romance, Slice of Life"
178,Hinamatsuri,8.46,,178,308,"58,533",Finished,Seinen,"Ohtake, Masao",19,117,"Comedy, Supernatural"
179,Eyeshield 21,8.46,,179,210,"80,757",Finished,Shounen,"Inagaki, Riichiro, Murata, Yusuke",37,333,
180,Cross Game,8.46,,180,844,"23,900",Finished,Shounen,"Adachi, Mitsuru",17,170,"Award Winning, Comedy, Drama, Romance, Sports"
181,Fullmetal Alchemist,8.46,,181,1134,"18,463",Finished,,"Arakawa, Hiromu, Inoue, Makoto",6,35,"Action, Adventure, Drama, Fantasy"
182,Kami nomi zo Shiru Sekai,8.46,,182,131,"113,325",Finished,Shounen,"Wakaki, Tamiki",26,271,"Comedy, Fantasy, Romance, Supernatural"
183,Kininatteru Hito ga Otoko ja Nakatta,8.46,,183,424,"44,609",Publishing,,"Arai, Sumiko",Unknown,Unknown,
184,blanc,8.46,,184,2246,"10,043",Finished,,"Nakamura, Asumiko",2,12,"Boys Love, Drama, Slice of Life"
185,Who Made Me a Princess,8.46,,185,300,"60,036",Finished,,"Plutus, Spoon",9,125,"Drama, Fantasy"
186,Shimanami Tasogare,8.46,,186,260,"67,030",Finished,Seinen,"Kamatani, Yuuki",4,23,"Drama, Slice of Life"
187,Yuukoku no Moriarty,8.45,,187,472,"40,613",Publishing,Shounen,"Takeuchi, Ryousuke, Miyoshi, Hikaru",Unknown,Unknown,"Mystery, Suspense"
188,Ookami to Koushinryou,8.45,,188,425,"44,591",Finished,Seinen,"Koume, Keito, Hasekura, Isuna",16,108,"Adventure, Drama, Fantasy, Romance, Supernatural"
189,Kyou kara Ore wa!!,8.45,,189,884,"23,182",Finished,Shounen,"Nishimori, Hiroyuki",38,366,"Action, Comedy"
190,Rainbow: Nisha Rokubou no Shichinin,8.45,,190,479,"40,148",Finished,Seinen,"Abe, George, Kakizaki, Masasumi",22,235,"Award Winning, Drama"
191,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,8.45,,191,1431,"15,240",Finished,Shounen,"Ryukishi07, Momoyama, Hinase",6,26,"Drama, Horror, Mystery, Supernatural"
192,Song of the Long March,8.45,,192,613,"31,943",Publishing,,"Xia, Da",Unknown,Unknown,"Action, Adventure, Drama"
193,Kage no Jitsuryokusha ni Naritakute!,8.45,,193,740,"27,004",Publishing,,"Touzai, Aizawa, Daisuke",Unknown,Unknown,"Action, Comedy, Fantasy"
194,Souyaku Toaru Majutsu no Index,8.45,,194,4698,"4,905",Publishing,,"Kamachi, Kazuma, Haimura, Kiyotaka",Unknown,Unknown,"Action, Comedy, Fantasy, Sci-Fi, Supernatural"
195,Villains Are Destined to Die,8.45,,195,476,"40,247",Publishing,,"Gwon, Gyeoeul, SUOL",Unknown,Unknown,"Drama, Fantasy, Romance"
196,Dandadan,8.45,,196,50,"190,546",Publishing,Shounen,"Tatsu, Yukinobu",Unknown,Unknown,"Action, Comedy, Supernatural"
197,Lost in the Cloud,8.45,,197,2043,"11,040",Finished,,"Kim, Pas",Unknown,131,
198,Dragon Ball,8.44,,199,64,"175,133",Finished,Shounen,"Toriyama, Akira",42,520,"Action, Adventure, Fantasy"
199,Doraemon,8.44,,200,1212,"17,396",Finished,"Kids, Shounen","Fujiko, Fujio F.",45,821,"Adventure, Award Winning, Comedy, Sci-Fi, Slice of Life"
200,Hirano to Kagiura,8.44,,201,1827,"12,385",Publishing,Josei,"Harusono, Shou",Unknown,Unknown,"Boys Love, Slice of Life"
201,Gekkan Shoujo Nozaki-kun,8.43,,202,197,"84,280",Publishing,,"Tsubaki, Izumi",Unknown,Unknown,"Comedy, Romance"
202,"Natsu e no Tunnel, Sayonara no Deguchi",8.43,,203,2564,"8,965",Finished,,"Hachimoku, Mei, Kukka",1,6,"Drama, Mystery, Sci-Fi"
203,Mayonaka Heart Tune,8.43,,198,1142,"18,416",Publishing,Shounen,"Igarashi, Masakuni",Unknown,Unknown,"Comedy, Romance"
204,Spirit Fingers,8.43,,204,2477,"9,253",Finished,,"Han, Kyoung-chal",13,163,"Comedy, Romance, Slice of Life"
205,21st Century Boys,8.43,,205,144,"104,339",Finished,Seinen,"Urasawa, Naoki",2,16,"Award Winning, Drama, Mystery, Sci-Fi"
206,Glass no Kamen,8.43,,206,1678,"13,412",On Hiatus,Shoujo,"Miuchi, Suzue",49,Unknown,"Drama, Romance"
207,Holyland,8.43,,207,174,"93,907",Finished,Seinen,"Mori, Kouji",18,182,
208,Juuni Kokuki,8.43,,208,2117,"10,684",Publishing,,"Ono, Fuyumi, Yamada, Akihiro",Unknown,Unknown,
209,Barakamon,8.43,,209,423,"44,629",Finished,Shounen,"Yoshino, Satsuki",20,150,"Comedy, Slice of Life"
210,Tobaku Mokushiroku Kaiji,8.42,,210,881,"23,187",Finished,Seinen,"Fukumoto, Nobuyuki",13,158,"Award Winning, Drama"
211,No Game No Life,8.42,,211,281,"62,188",Publishing,,"Kamiya, Yuu",Unknown,Unknown,"Comedy, Fantasy, Ecchi"
212,Shiori Experience: Jimi na Watashi to Hen na Ojisan,8.42,,212,937,"21,950",Publishing,Seinen,"Osada, Yu-Ko, Machida, Kazuya",Unknown,Unknown,"Comedy, Supernatural"
213,Bungou Stray Dogs,8.42,,213,1780,"12,678",Publishing,,"Asagiri, Kafka, Harukawa35, Ganjii, Iwahata, Hiro",Unknown,Unknown,"Action, Mystery, Supernatural"
214,Solo Leveling,8.42,,214,1681,"13,394",Finished,,Chugong,13,150,"Action, Adventure, Fantasy"
215,Look Back,8.42,,215,127,"116,459",Finished,Shounen,"Fujimoto, Tatsuki",1,Unknown,
216,Youjo Senki,8.41,,216,785,"25,845",Publishing,,"Shinotsuki, Shinobu, Zen, Carlo",Unknown,Unknown,"Action, Fantasy"
217,Mugen no Juunin,8.41,,217,189,"88,094",Finished,Seinen,"Samura, Hiroaki",30,207,"Action, Adventure, Drama, Supernatural"
218,Kuroshitsuji,8.41,,218,71,"166,682",Publishing,Shounen,"Toboso, Yana",Unknown,Unknown,"Action, Fantasy, Mystery, Supernatural"
219,Horimiya,8.41,,219,16,"350,474",Finished,Shounen,"Hagiwara, Daisuke, HERO",17,139,
220,Toshokan no Daimajutsushi,8.41,,220,827,"24,304",Publishing,Seinen,"Izumi, Mitsu",Unknown,Unknown,
221,Ikoku Nikki,8.40,,221,2468,"9,292",Finished,Josei,"Yamashita, Tomoko",11,56,
222,Kimi wa Houkago Insomnia,8.40,,222,324,"55,493",Finished,Seinen,"Ojiro, Makoto",14,125,
223,Nodame Cantabile,8.40,,223,669,"29,369",Finished,Josei,"Ninomiya, Tomoko",25,150,"Award Winning, Comedy, Romance, Slice of Life"
224,Basara,8.40,,224,753,"26,759",Finished,Shoujo,"Tamura, Yumi",27,112,"Adventure, Award Winning, Drama, Fantasy, Romance"
225,Tobaku Hakairoku Kaiji,8.40,,225,1765,"12,742",Finished,,"Fukumoto, Nobuyuki",13,134,
226,Onanie Master Kurosawa,8.40,,226,84,"148,486",Finished,,"Yokota, Takuma, Ise, Katsura",4,31,
227,Adachi to Shimamura,8.40,,227,1853,"12,283",Publishing,,"Iruma, Hitoma, Ousaka, Nozomi, raemz",Unknown,Unknown,"Girls Love, Slice of Life"
228,Yuru Camp△,8.40,,228,964,"21,258",Publishing,,Afro,Unknown,Unknown,
229,Innocent Rouge,8.39,,229,571,"33,771",Finished,Seinen,"Sakamoto, Shinichi",12,88,"Award Winning, Drama"
230,Kimi no Na wa.,8.39,,230,168,"95,200",Finished,Seinen,"Shinkai, Makoto, Kotone, Ranmaru",3,9,
231,The Breaker,8.39,,231,86,"147,963",Finished,,"Park, Jin-Hwan, Jeon, Geuk-jin",10,72,"Action, Comedy, Drama"
232,Gunnm,8.38,,232,185,"89,101",Finished,Seinen,"Kishiro, Yukito",9,53,"Action, Sci-Fi"
233,Kaichou wa Maid-sama!,8.38,,233,69,"170,738",Finished,Shoujo,"Fujiwara, Hiro",18,98,"Comedy, Romance"
234,Nichijou,8.38,,234,438,"43,213",Publishing,Shounen,"Arawi, Keiichi",Unknown,Unknown,
235,My Girl,8.38,,235,543,"35,566",Finished,Seinen,"Yumeka, Sumomo",5,44,"Drama, Slice of Life"
236,Toaru Majutsu no Index,8.38,,236,578,"33,197",Finished,,"Kamachi, Kazuma, Haimura, Kiyotaka",22,133,"Action, Fantasy, Sci-Fi"
237,Amayo no Tsuki,8.38,,237,2458,"9,324",Publishing,,Kuzushiro,Unknown,Unknown,"Drama, Girls Love"
238,Haruka Tooki Ie,8.38,,238,4213,"5,542",Finished,,"Yatsuda, Teki",1,7,"Boys Love, Drama"
239,Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,8.38,,239,1657,"13,530",Finished,Shoujo,"Kusanagi, Mizuho, Fujitani, Touko",1,8,"Adventure, Romance"
240,No.6,8.38,,240,910,"22,606",Finished,,"Asano, Atsuko",9,43,"Action, Mystery, Sci-Fi"
241,Imawa no Kuni no Alice,8.38,,241,183,"90,139",Finished,Shounen,"Aso, Haro",18,87,"Action, Horror, Supernatural"
242,Koe no Katachi,8.38,,242,279,"62,846",Finished,Shounen,"Ooima, Yoshitoki",Unknown,1,
243,The Breaker: New Waves,8.37,,243,164,"96,673",Finished,,"Park, Jin-Hwan, Jeon, Geuk-jin",20,203,"Action, Comedy, Drama, Romance"
244,Daytime Star,8.37,,244,2145,"10,544",Finished,,"Chae-eun, Godago",Unknown,77,
245,SQ: Begin W/Your Name!,8.37,,245,261,"66,902",Finished,,Tanjiu,1,9,"Comedy, Girls Love, Slice of Life"
246,xxxHOLiC,8.37,,246,186,"88,995",Finished,Seinen,CLAMP,19,213,"Comedy, Drama, Mystery, Supernatural"
247,Azumanga Daioh,8.37,,247,306,"58,595",Finished,,"Azuma, Kiyohiko",4,69,"Comedy, Slice of Life"
248,Cardcaptor Sakura,8.37,,248,251,"68,332",Finished,Shoujo,CLAMP,12,50,"Adventure, Award Winning, Comedy, Fantasy, Romance"
249,Kiseijuu,8.37,,249,137,"108,633",Finished,Seinen,"Iwaaki, Hitoshi",10,64,"Action, Award Winning, Horror, Sci-Fi"
250,SKET Dance,8.37,,250,554,"35,042",Finished,Shounen,"Shinohara, Kenta",32,288,"Award Winning, Comedy, Drama"
251,Bakuman.,8.37,,251,58,"181,583",Finished,Shounen,"Obata, Takeshi, Ohba, Tsugumi",20,176,"Comedy, Drama, Romance"
252,Tomodachi Game,8.37,,252,190,"87,840",Finished,Shounen,"Yamaguchi, Mikoto, Satou, Yuuki",26,130,
253,Tensei shitara Slime Datta Ken,8.37,,253,96,"141,153",Publishing,Shounen,"Kawakami, Taiki, Fuse",Unknown,Unknown,"Award Winning, Fantasy"
254,"Mata, Onaji Yume wo Miteita",8.37,,254,795,"25,568",Finished,,"Kirihara, Idumi, Sumino, Yoru",3,12,
255,Urasekai Picnic,8.36,,255,5268,"4,316",Publishing,,"Miyazawa, Iori, shirakaba",Unknown,Unknown,"Adventure, Fantasy, Mystery, Suspense"
256,Shousetsu Kimi no Na wa.,8.36,,256,2328,"9,779",Finished,,"Shinkai, Makoto",1,8,
257,Tower of God,8.36,,257,39,"205,333",Publishing,,SIU,Unknown,Unknown,"Action, Adventure, Drama, Fantasy, Mystery"
258,"Kumo desu ga, Nani ka?",8.36,,258,667,"29,463",Finished,,"Kiryuu, Tsukasa, Baba, Okina",16,384,"Action, Adventure, Comedy, Fantasy"
259,Noragami,8.36,,259,47,"193,120",Finished,Shounen,Adachitoka,27,109,"Action, Fantasy"
260,Boku dake ga Inai Machi,8.36,,260,177,"92,583",Finished,Seinen,"Sanbe, Kei",9,49,"Mystery, Supernatural"
261,Watashi no Oshi wa Akuyaku Reijou.: Revolution,8.36,,261,3095,"7,551",Publishing,,"Inori., Hanagata",Unknown,Unknown,"Comedy, Fantasy, Girls Love"
262,Kimi no Yoru ni Fureru,8.36,,262,3737,"6,276",Finished,,"Mori, Moyori",1,6,"Boys Love, Drama"
263,"Bungou Stray Dogs: Dazai, Chuuya, Juugosai",8.36,,263,7969,"2,674",Finished,Shounen,"Asagiri, Kafka, Hoshikawa, Shiwasu",4,24,"Action, Supernatural"
264,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 0,8.36,,264,8110,"2,616",Finished,,"Tomose, Shunsaku, Kinugasa, Shougo",1,8,
265,Fate/strange Fake,8.36,,265,2082,"10,831",Publishing,,"Narita, Ryohgo, Morii, Shizuki",Unknown,Unknown,"Action, Fantasy, Supernatural"
266,Love Bullet,8.36,,266,2013,"11,223",Publishing,Seinen,inee,Unknown,Unknown,"Action, Drama, Girls Love, Supernatural"
267,Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,8.36,,267,1193,"17,788",Finished,Shounen,"Natsumi, Kei, Ryukishi07",5,22,"Drama, Horror, Mystery"
268,Versailles no Bara,8.35,,268,984,"20,897",Finished,Shoujo,"Ikeda, Riyoko",10,82,"Drama, Romance"
269,Konjiki no Gash!!,8.35,,269,540,"35,624",Finished,Shounen,"Raiku, Makoto",33,323,"Action, Adventure, Award Winning, Comedy, Supernatural"
270,Ballroom e Youkoso,8.35,,270,454,"42,387",Publishing,Shounen,"Takeuchi, Tomo",Unknown,Unknown,"Comedy, Drama, Romance, Sports"
271,Shadows House,8.35,,271,400,"47,295",Publishing,Seinen,Soumatou,Unknown,Unknown,"Fantasy, Mystery"
272,Her Tale of Shim Chong,8.35,,272,2114,"10,691",Finished,,"seri, Biwan",7,77,"Drama, Girls Love"
273,Kieta Hatsukoi,8.35,,273,945,"21,759",Finished,Shoujo,"Aruko, Hinekure, Wataru",9,39,"Award Winning, Boys Love, Comedy, Romance"
274,Wotaku ni Koi wa Muzukashii,8.35,,274,91,"144,459",Finished,,Fujita,11,105,"Comedy, Romance"
275,Bleach: Can't Fear Your Own World,8.35,,275,2337,"9,746",Finished,,"Kubo, Tite, Narita, Ryohgo",3,32,"Action, Supernatural"
276,Mairimashita! Iruma-kun,8.34,,276,263,"66,608",Publishing,Shounen,"Nishi, Osamu",Unknown,Unknown,"Comedy, Fantasy"
277,Violet Evergarden Gaiden,8.34,,277,4935,"4,647",Finished,,"Akatsuki, Kana, Takase, Akiko",1,6,"Drama, Fantasy"
278,Kanata kara,8.34,,278,1219,"17,346",Finished,Shoujo,"Hikawa, Kyouko",14,57,"Adventure, Award Winning, Fantasy, Romance"
279,Homunculus,8.34,,279,79,"157,825",Finished,Seinen,"Yamamoto, Hideo",15,166,"Drama, Horror, Mystery, Supernatural"
280,Hadashi no Gen,8.34,,280,1700,"13,243",Finished,Shounen,"Nakazawa, Keiji",10,54,
281,Ten: Tenhou-doori no Kaidanji,8.34,,281,3260,"7,182",Finished,,"Fukumoto, Nobuyuki",18,164,
282,Gochuumon wa Usagi desu ka?,8.34,,282,2917,"7,984",Publishing,,Koi,Unknown,Unknown,
283,Houkago Kitaku Biyori,8.34,,283,2823,"8,272",Publishing,Seinen,"Matsuda, Mai",Unknown,Unknown,
284,Make Heroine ga Oosugiru!,8.34,,284,3302,"7,105",Publishing,,"Imigimuru, Amamori, Takibi",Unknown,Unknown,"Comedy, Romance"
285,I Shall Master This Family,8.34,,285,1109,"18,849",Publishing,,"Kim, Roah, Mon",Unknown,Unknown,
286,Piano no Mori,8.33,,286,1242,"17,055",Finished,Seinen,"Isshiki, Makoto",26,242,"Award Winning, Drama"
287,Naruto Shinden Series,8.33,,287,1703,"13,220",Finished,Shounen,"Kishimoto, Masashi, Yano, Takashi, Towada, Shin",3,11,"Action, Adventure, Fantasy"
288,Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,8.33,,288,10929,"1,798",Finished,Shounen,"Sorachi, Hideaki, Oosaki, Tomohito",1,21,"Action, Comedy, Sci-Fi"
289,Re:Zero kara Hajimeru Isekai Seikatsu Ex,8.33,,289,3344,"6,980",Publishing,,"Nagatsuki, Tappei, Ootsuka, Shinichirou",Unknown,Unknown,
290,Youjo Senki,8.33,,290,619,"31,314",Publishing,,"Toujou, Chika, Zen, Carlo",Unknown,Unknown,"Action, Fantasy"
291,Blue Giant Supreme,8.33,,291,3638,"6,421",Finished,Seinen,"Ishizuka, Shinichi",11,88,
292,Whale Star: The Gyeongseong Mermaid,8.33,,292,5170,"4,408",Finished,,"Na, Yun-hui",6,109,"Drama, Romance"
293,Gin no Saji,8.33,,293,420,"44,721",Finished,Shounen,"Arakawa, Hiromu",15,131,"Award Winning, Comedy, Drama"
294,Mahoutsukai no Yome,8.33,,294,167,"96,047",Publishing,Shounen,"Yamazaki, Kore",Unknown,Unknown,"Drama, Fantasy, Romance"
295,Machida-kun no Sekai,8.32,,295,594,"32,845",Finished,Shoujo,"Andou, Yuki",7,28,"Award Winning, Romance"
296,Totsukuni no Shoujo,8.32,,296,195,"85,370",Finished,Shounen,Nagabe,11,53,
297,JoJo no Kimyou na Bouken Part 9: The JoJoLands,8.32,,297,388,"48,327",Publishing,Seinen,"Araki, Hirohiko",Unknown,Unknown,"Action, Adventure, Supernatural"
298,Akuyaku Reijou no Naka no Hito: Danzai sareta Tenseisha no Tame Usotsuki Heroine ni Fukushuu Itashimasu,8.32,,298,2186,"10,323",Finished,,"Shiraume, Nazuna, Makiburo",6,28,
299,"Tsuihou sareru Tabi ni Skill wo Te ni Ireta Ore ga, 100 no Isekai de 2-shuume Musou",8.32,,299,1579,"14,074",Publishing,Seinen,"Hinoura, Takumi, Nimori, Shimatsukasa",Unknown,Unknown,
300,Lovely★Complex,8.32,,300,258,"67,371",Finished,Shoujo,"Nakahara, Aya",17,68,"Award Winning, Comedy, Drama, Romance"
301,Gakuen Alice,8.32,,301,422,"44,669",Finished,Shoujo,"Higuchi, Tachibana",31,183,"Comedy, Drama, Romance"
302,Full Metal Panic! Sigma,8.32,,302,1702,"13,223",Finished,Shounen,"Gatou, Shouji, Ueda, Hiroshi",19,90,"Action, Romance"
303,Durarara!!,8.32,,303,694,"28,387",Finished,,"Narita, Ryohgo, Yasuda, Suzuhito",13,89,"Action, Drama, Romance, Supernatural"
304,NHK ni Youkoso!,8.32,,304,3123,"7,473",Finished,,"Takimoto, Tatsuhiko",1,12,"Comedy, Drama, Romance"
305,Bocchi the Rock!,8.31,,305,711,"27,779",Publishing,,"Hamaji, Aki",Unknown,Unknown,
306,Teito Seihai Kitan: Fate/type Redline,8.31,,306,1264,"16,867",Publishing,,"Keikenchi, Hirano, Ryouji",Unknown,Unknown,"Action, Comedy, Fantasy, Supernatural"
307,Ao no Hako,8.31,,307,180,"91,106",Publishing,Shounen,"Miura, Kouji",Unknown,Unknown,"Romance, Sports"
308,Mushishi Tokubetsu-hen: Hihamukage,8.31,,308,3542,"6,587",Finished,Seinen,"Urushibara, Yuki",1,2,"Fantasy, Mystery, Supernatural"
309,Tokyo Ghoul:re,8.31,,309,21,"307,207",Finished,Seinen,"Ishida, Sui",16,181,"Action, Fantasy, Horror"
310,Mars,8.31,,310,515,"37,638",Finished,Shoujo,"Souryo, Fuyumi",15,59,"Drama, Romance"
311,Shin Angyo Onshi,8.31,,311,529,"36,553",Finished,Seinen,"Yoon, In-Wan, Yang, Kyung-il",17,76,"Action, Adventure, Drama, Fantasy, Supernatural"
312,Touch,8.31,,312,1396,"15,544",Finished,Shounen,"Adachi, Mitsuru",26,257,"Award Winning, Comedy, Drama, Romance, Sports"
313,Saikyou Densetsu Kurosawa,8.31,,313,693,"28,398",Finished,Seinen,"Fukumoto, Nobuyuki",11,90,"Action, Comedy, Drama, Suspense"
314,Hoshi no Samidare,8.31,,314,287,"61,596",Finished,Seinen,"Mizukami, Satoshi",10,65,"Action, Supernatural, Suspense"
315,Daichouhen Doraemon,8.31,,315,4711,"4,893",Finished,Kids,"Fujiko, Fujio F.",24,126,"Adventure, Comedy, Fantasy, Sci-Fi, Slice of Life"
316,Saiki Kusuo no Ψ-nan,8.31,,316,533,"36,291",Finished,Shounen,"Asou, Shuuichi",26,290,"Comedy, Supernatural"
317,Ookami Kodomo no Ame to Yuki,8.31,,317,761,"26,543",Finished,Seinen,"Hosoda, Mamoru, Yuu",3,16,"Drama, Fantasy, Romance, Slice of Life"
318,SSS-Class Revival Hunter,8.30,,318,362,"50,349",Publishing,,"Bill K, Sinnoa",Unknown,Unknown,"Action, Adventure, Fantasy"
319,Sensou Kyoushitsu,8.30,,319,2038,"11,078",Publishing,Shounen,"Toumori, Higoro, Sora, Mozuku",Unknown,Unknown,"Action, Fantasy"
320,Leviathan,8.30,,320,1127,"18,600",Finished,,"Noh, Miyoung, Lee, Gyuntak",9,55,"Action, Fantasy"
321,Pick Me Up,8.30,,321,755,"26,742",Publishing,,"Wasakbasak, Hermod",Unknown,Unknown,"Action, Fantasy"
322,Black Jack,8.30,,322,810,"24,935",Finished,Shounen,"Tezuka, Osamu",25,243,"Award Winning, Drama"
323,Kimi ni Todoke,8.30,,323,105,"128,043",Finished,Shoujo,"Shiina, Karuho",30,125,"Award Winning, Romance, Slice of Life"
324,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,8.30,,324,514,"37,643",Finished,,"Obata, Takeshi, NISIO, ISIN",1,7,
325,Takemitsuzamurai,8.30,,325,1351,"15,906",Finished,Seinen,"Matsumoto, Taiyou, Eifuku, Issei",8,84,"Award Winning, Slice of Life"
326,Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch,8.30,,326,1282,"16,675",Finished,,"Ryukishi07, Souichirou",6,29,"Drama, Horror, Mystery"
327,Tsubasa: RESERVoir CHRoNiCLE,8.29,,327,200,"83,360",Finished,Shounen,CLAMP,28,233,"Action, Adventure, Drama, Fantasy"
328,Kodomo no Omocha,8.29,,328,826,"24,330",Finished,Shoujo,"Obana, Miho",10,54,"Award Winning, Comedy, Drama, Romance, Slice of Life"
329,Paradise Kiss,8.29,,329,313,"57,997",Finished,Josei,"Yazawa, Ai",5,48,"Drama, Romance"
330,Blame!,8.29,,330,70,"170,141",Finished,Seinen,"Nihei, Tsutomu",10,66,"Action, Drama, Horror, Sci-Fi"
331,Black Lagoon,8.29,,331,303,"59,354",Publishing,Seinen,"Hiroe, Rei",Unknown,Unknown,"Action, Drama"
